Solving vm1084
[0s]  C: constructRandomReplicate -----> [0s]  Current: [fitness: 4294967295  updated: 1  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  MH: ILS                       
[0s]  	LS: cyclicVND                
[0s]  		O: insert1                  -----> [0s]  Current: [fitness: 4294967295  updated: 0  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  		O: remove1                  -----> [0s]  Current: [fitness: 4294967295  updated: 0  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  		O: two_opt                  -----> [7s]  Current: [fitness: 8638132  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[7s]  		O: exchange_ids             -----> [14s]  Current: [fitness: 8580398  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8638132  last updated: 7s  feasible: 1  size: 1084]
[14s]  		O: exchange_1_2             -----> [26s]  Current: [fitness: 8523895  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8580398  last updated: 14s  feasible: 1  size: 1084]
[26s]  		O: exchange_2_2             -----> [37s]  Current: [fitness: 8475528  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8523895  last updated: 26s  feasible: 1  size: 1084]
[37s]  		O: exchange_3_3             -----> [49s]  Current: [fitness: 8424981  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8475528  last updated: 37s  feasible: 1  size: 1084]
[49s]  		O: exchange_3_4             -----> [61s]  Current: [fitness: 8371112  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8424981  last updated: 49s  feasible: 1  size: 1084]
[61s]  		O: exchange_4_4             -----> [72s]  Current: [fitness: 8312127  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8371112  last updated: 61s  feasible: 1  size: 1084]
[72s]  		O: rexchange_2_2            -----> [84s]  Current: [fitness: 8264185  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8312127  last updated: 72s  feasible: 1  size: 1084]
[84s]  		O: rexchange_2_3            -----> [96s]  Current: [fitness: 8215255  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8264185  last updated: 84s  feasible: 1  size: 1084]
[96s]  		O: rexchange_4_4            -----> [108s]  Current: [fitness: 8165710  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8215255  last updated: 96s  feasible: 1  size: 1084]
[108s]  		O: centered_exchange_1      -----> [108s]  Current: [fitness: 8139178  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8165710  last updated: 108s  feasible: 1  size: 1084]
[108s]  		O: relocate_1               -----> [119s]  Current: [fitness: 8107569  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8139178  last updated: 108s  feasible: 1  size: 1084]
[119s]  		O: relocate_5               -----> [131s]  Current: [fitness: 8069543  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8107569  last updated: 119s  feasible: 1  size: 1084]
