Solving vm1084
[0s]  C: construct_random_replicate -----> [0s]  Current: [fitness: 4294967295  updated: 1  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  MH: ILS                       
[0s]  	LS: cyclicVND                
[0s]  		O: insert1                  -----> [0s]  Current: [fitness: 4294967295  updated: 0  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  		O: remove1                  -----> [0s]  Current: [fitness: 4294967295  updated: 0  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  		O: two_opt                  -----> [5s]  Current: [fitness: 8391098  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[5s]  		O: exchange_ids             -----> [10s]  Current: [fitness: 8328760  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8391098  last updated: 5s  feasible: 1  size: 1084]
[10s]  		O: exchange_1_2             -----> [19s]  Current: [fitness: 8268826  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8328760  last updated: 10s  feasible: 1  size: 1084]
[19s]  		O: exchange_2_2             -----> [27s]  Current: [fitness: 8212334  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8268826  last updated: 19s  feasible: 1  size: 1084]
[27s]  		O: exchange_3_3             -----> [36s]  Current: [fitness: 8157762  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8212334  last updated: 27s  feasible: 1  size: 1084]
[36s]  		O: exchange_3_4             -----> [44s]  Current: [fitness: 8098786  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8157762  last updated: 36s  feasible: 1  size: 1084]
[44s]  		O: exchange_4_4             -----> [53s]  Current: [fitness: 8047893  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8098786  last updated: 44s  feasible: 1  size: 1084]
[53s]  		O: rexchange_2_2            -----> [61s]  Current: [fitness: 7999240  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8047893  last updated: 53s  feasible: 1  size: 1084]
[61s]  		O: rexchange_2_3            -----> [70s]  Current: [fitness: 7943049  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7999240  last updated: 61s  feasible: 1  size: 1084]
[70s]  		O: rexchange_4_4            -----> [78s]  Current: [fitness: 7893476  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7943049  last updated: 70s  feasible: 1  size: 1084]
[78s]  		O: centered_exchange_1      -----> [78s]  Current: [fitness: 7868065  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7893476  last updated: 78s  feasible: 1  size: 1084]
[78s]  		O: relocate_1               -----> [87s]  Current: [fitness: 7835828  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7868065  last updated: 78s  feasible: 1  size: 1084]
[87s]  		O: relocate_5               -----> [96s]  Current: [fitness: 7800134  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7835828  last updated: 87s  feasible: 1  size: 1084]
