Solving vm1084
[0s]  C: construct_random_replicate -----> [0s]  Current: [fitness: 4294967295  updated: 1  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  MH: ILS                       
[0s]  	LS: cyclicVND                
[0s]  		O: insert1                  -----> [0s]  Current: [fitness: 4294967295  updated: 0  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  		O: remove1                  -----> [0s]  Current: [fitness: 4294967295  updated: 0  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  		O: two_opt                  -----> [7s]  Current: [fitness: 8867828  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[7s]  		O: exchange_ids             -----> [13s]  Current: [fitness: 8806560  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8867828  last updated: 7s  feasible: 1  size: 1084]
[13s]  		O: exchange_1_2             -----> [24s]  Current: [fitness: 8744758  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8806560  last updated: 13s  feasible: 1  size: 1084]
[24s]  		O: exchange_2_2             -----> [35s]  Current: [fitness: 8694734  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8744758  last updated: 24s  feasible: 1  size: 1084]
[35s]  		O: exchange_3_3             -----> [46s]  Current: [fitness: 8639223  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8694734  last updated: 35s  feasible: 1  size: 1084]
[46s]  		O: exchange_3_4             -----> [58s]  Current: [fitness: 8583278  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8639223  last updated: 46s  feasible: 1  size: 1084]
[58s]  		O: exchange_4_4             -----> [70s]  Current: [fitness: 8532745  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8583278  last updated: 58s  feasible: 1  size: 1084]
[70s]  		O: rexchange_2_2            -----> [81s]  Current: [fitness: 8478500  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8532745  last updated: 70s  feasible: 1  size: 1084]
[81s]  		O: rexchange_2_3            -----> [93s]  Current: [fitness: 8426634  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8478500  last updated: 81s  feasible: 1  size: 1084]
[93s]  		O: rexchange_4_4            -----> [105s]  Current: [fitness: 8372384  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8426634  last updated: 93s  feasible: 1  size: 1084]
[105s]  		O: centered_exchange_1      -----> [105s]  Current: [fitness: 8344645  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8372384  last updated: 105s  feasible: 1  size: 1084]
[105s]  		O: relocate_1               -----> [117s]  Current: [fitness: 8311800  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8344645  last updated: 105s  feasible: 1  size: 1084]
[117s]  		O: relocate_5               -----> [129s]  Current: [fitness: 8275456  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8311800  last updated: 117s  feasible: 1  size: 1084]
